nom_departement,nom_ville,site_associations_ville
 Ain, Charix,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-charix-01087.html
 Ain, Charnoz-sur-Ain,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-charnoz-sur-ain-01088.html
 Ain, Château-Gaillard,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chateau-gaillard-01089.html
 Ain, Châtenay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatenay-01-01090.html
 Ain, Châtillon-en-Michaille,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatillon-en-michaille-01091.html
 Ain, Châtillon-la-Palud,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatillon-la-palud-01092.html
 Ain, Châtillon-sur-Chalaronne,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chatillon-sur-chalaronne-01093.html
 Ain, Chavannes-sur-Reyssouze,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chavannes-sur-reyssouze-01094.html
 Ain, Chavannes-sur-Suran,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chavannes-sur-suran-01095.html
 Ain, Chaveyriat,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chaveyriat-01096.html
 Ain, Chavornay,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chavornay-01097.html
 Ain, Chazey-Bons,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chazey-bons-01098.html
 Ain, Chazey-sur-Ain,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chazey-sur-ain-01099.html
 Ain, Cheignieu-la-Balme,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cheignieu-la-balme-01100.html
 Ain, Chevillard,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chevillard-01101.html
 Ain, Chevroux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chevroux-01102.html
 Ain, Chevry,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chevry-01-01103.html
 Ain, Chézery-Forens,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-chezery-forens-01104.html
 Ain, Civrieux,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-civrieux-01105.html
 Ain, Cize,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cize-01-01106.html
 Ain, Cleyzieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-cleyzieu-01107.html
 Ain, Coligny,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-coligny-01108.html
 Ain, Collonges,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-collonges-01109.html
 Ain, Colomieu,https://www.associations-sportives.fr//associations-sportives-ville-ain-01/association-sportive-colomieu-01110.html
